n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size,chromatic_number_norm,clique_number_norm,max_independent_set_size_norm,domination_number_norm,min_clique_cover_size_norm,chromatic_to_clique_ratio,chromatic_to_max_independent_ratio,clique_to_max_independent_ratio,domination_to_clique_ratio,min_clique_cover_to_chromatic_ratio,n_bin_medium,n_bin_large
200,0,80,68,5,156,6,0.4,0.34,0.025,0.78,0.03,1.1764705882352942,16.0,13.6,2.2941176470588234,0.075,True,False
200,1,95,71,5,164,5,0.475,0.355,0.025,0.82,0.025,1.3380281690140845,19.0,14.2,2.3098591549295775,0.05263157894736842,True,False
250,0,95,78,4,185,6,0.38,0.312,0.016,0.74,0.024,1.2179487179487178,23.75,19.5,2.371794871794872,0.06315789473684211,True,False
500,1,223,191,5,426,6,0.446,0.382,0.01,0.852,0.012,1.1675392670157068,44.6,38.2,2.230366492146597,0.026905829596412557,False,True
100,0,36,28,4,73,6,0.36,0.28,0.04,0.73,0.06,1.2857142857142858,9.0,7.0,2.607142857142857,0.16666666666666666,False,False
250,1,109,99,5,246,6,0.436,0.396,0.02,0.984,0.024,1.101010101010101,21.8,19.8,2.484848484848485,0.05504587155963303,True,False
25,0,9,9,4,15,5,0.36,0.36,0.16,0.6,0.2,1.0,2.25,2.25,1.6666666666666667,0.5555555555555556,False,False
25,1,16,11,4,22,5,0.64,0.44,0.16,0.88,0.2,1.4545454545454546,4.0,2.75,2.0,0.3125,False,False
100,0,36,30,5,77,6,0.36,0.3,0.05,0.77,0.06,1.2,7.2,6.0,2.566666666666667,0.16666666666666666,False,False
350,0,122,109,6,325,7,0.3485714285714286,0.31142857142857144,0.017142857142857144,0.9285714285714286,0.02,1.1192660550458715,20.333333333333332,18.166666666666668,2.981651376146789,0.05737704918032787,False,True
100,1,51,50,3,67,5,0.51,0.5,0.03,0.67,0.05,1.02,17.0,16.666666666666668,1.34,0.09803921568627451,False,False
500,0,185,164,5,437,7,0.37,0.328,0.01,0.874,0.014,1.1280487804878048,37.0,32.8,2.6646341463414633,0.03783783783783784,False,True
100,0,36,34,6,73,6,0.36,0.34,0.06,0.73,0.06,1.0588235294117647,6.0,5.666666666666667,2.1470588235294117,0.16666666666666666,False,False
50,1,26,22,3,24,4,0.52,0.44,0.06,0.48,0.08,1.1818181818181819,8.666666666666666,7.333333333333333,1.0909090909090908,0.15384615384615385,False,False
100,1,47,42,4,54,5,0.47,0.42,0.04,0.54,0.05,1.119047619047619,11.75,10.5,1.2857142857142858,0.10638297872340426,False,False
