n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
450,0,123,118,12,442,15
450,1,203,192,11,445,15
500,0,152,145,14,493,16
25,0,7,6,8,24,9
450,1,201,193,13,446,16
100,1,48,44,6,82,7
500,0,148,148,13,478,15
100,0,42,34,9,98,10
350,0,103,101,11,317,13
100,0,36,35,8,97,11
250,0,76,76,11,240,14
25,1,14,12,4,25,5
50,0,17,17,5,42,6
250,1,121,84,11,243,12
200,0,70,70,11,197,13
450,0,154,149,13,438,16
350,1,153,142,14,344,15
450,0,149,149,11,431,12
50,0,18,18,5,48,7
250,0,88,88,9,235,10
350,1,166,122,17,343,18
100,1,39,34,9,93,10
200,0,64,61,9,172,10
300,0,85,83,9,287,11
50,1,27,16,4,39,7
500,0,166,166,12,489,14
300,1,153,119,10,291,12
500,1,226,219,13,489,16
25,1,14,10,3,15,4
200,1,97,97,9,196,10
300,0,111,111,11,291,13
25,0,7,6,6,20,7
500,0,161,161,10,492,13
50,1,24,22,5,47,5
250,0,77,77,12,242,14
150,0,46,46,10,146,12
100,1,46,46,9,97,10
500,1,232,227,12,497,15
450,1,206,201,8,407,12
25,1,14,10,6,24,7
250,1,101,100,9,234,11
350,0,116,111,12,338,15
50,1,22,22,7,47,8
300,0,90,90,11,291,13
200,0,67,58,10,191,11
25,0,10,8,7,23,8
400,0,127,127,11,388,15
400,1,188,169,14,391,16
450,1,201,194,14,441,16
350,0,119,119,10,342,12
350,0,120,120,11,329,15
150,0,50,50,12,145,14
50,1,24,24,7,45,7
100,0,31,29,8,93,10
200,0,69,64,10,190,12
25,1,13,10,4,21,5
400,0,107,107,12,391,15
450,0,123,122,13,445,15
350,1,153,148,13,343,14
450,0,151,151,10,415,13
150,1,67,66,7,146,8
200,0,57,55,11,197,13
450,0,139,139,13,443,13
25,0,9,9,6,24,6
200,1,91,91,9,198,11
400,0,127,124,9,349,12
150,1,76,73,10,144,11
100,0,33,33,7,77,10
300,0,99,99,10,291,12
150,0,45,45,10,143,10
200,0,70,63,10,192,11
400,1,183,183,12,396,15
300,1,156,111,13,295,14
200,1,89,80,8,199,9
150,1,71,64,8,145,10
150,1,75,68,8,145,9
50,0,13,11,7,43,10
250,0,75,75,8,226,11
400,0,135,135,11,384,13
200,1,84,78,9,195,10
50,0,17,13,8,37,9
150,0,52,52,8,143,13
350,0,100,100,11,339,14
300,0,92,92,10,291,12
100,0,36,36,8,96,10
100,0,31,29,9,91,11
500,1,234,210,11,494,14
50,0,19,19,5,50,8
100,0,35,35,8,96,10
350,0,113,113,12,337,15
400,1,167,156,12,389,15
450,1,214,202,12,444,13
200,0,64,64,12,198,13
25,1,15,14,5,25,6
400,1,183,173,10,391,14
300,0,99,96,10,290,12
400,1,175,161,13,397,15
250,0,78,78,11,243,13
100,0,29,29,10,92,11
350,1,150,138,11,343,13
25,0,10,9,6,21,8
250,0,79,76,11,244,13
100,0,27,26,11,96,13
400,1,178,172,12,393,15
50,0,13,13,8,44,9
500,1,226,214,15,495,16
450,0,135,126,11,423,12
350,0,122,117,12,342,13
150,0,49,48,7,143,9
300,1,153,95,9,296,12
250,0,84,84,8,240,12
200,1,87,82,8,188,10
25,1,14,10,4,23,4
500,0,172,172,13,491,15
450,1,210,194,14,442,15
200,1,85,82,11,192,13
350,1,162,161,11,342,12
300,1,139,128,10,294,12
250,0,69,61,12,246,13
450,0,132,127,10,431,13
400,1,182,180,9,392,11
100,0,38,30,8,97,10
300,0,102,102,12,294,13
450,0,126,126,13,442,16
500,0,157,157,9,491,12
