n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
400,1,179,169,14,395,16
25,0,11,11,6,21,7
450,1,206,184,10,440,12
100,0,34,33,7,94,9
300,0,90,90,12,300,14
150,1,80,75,5,143,8
350,0,109,109,9,344,13
300,0,105,105,9,276,11
150,1,72,52,9,148,10
400,1,187,166,13,396,14
50,1,26,24,7,46,7
200,0,57,56,11,191,13
350,1,170,145,11,345,12
100,1,51,38,9,95,9
350,1,189,142,14,345,15
200,1,99,91,10,192,12
50,1,23,18,8,47,8
450,1,210,190,13,447,15
200,1,93,81,8,197,9
350,1,178,168,10,343,12
50,1,31,28,5,50,7
400,0,134,130,10,371,13
350,0,128,118,12,340,13
25,0,12,12,5,18,5
400,0,126,125,12,347,13
25,1,13,13,4,22,5
500,1,233,222,14,498,16
25,1,14,11,4,24,5
350,1,168,164,9,345,12
50,1,29,22,6,46,7
300,0,84,84,10,283,11
150,1,67,67,9,146,11
100,0,26,26,10,99,12
250,1,111,111,8,249,10
200,0,67,67,12,175,13
50,1,28,28,6,46,7
25,0,7,7,7,21,8
250,1,115,107,8,243,9
50,0,16,14,7,45,8
25,1,17,12,4,25,5
100,1,50,45,6,96,7
500,1,223,210,12,492,15
450,1,207,188,13,443,15
250,1,98,98,8,245,11
200,0,61,58,9,194,11
450,0,139,138,10,442,13
400,0,114,112,12,392,14
250,1,111,110,9,247,10
450,1,207,201,12,443,14
150,1,77,55,9,142,10
25,1,13,13,4,22,5
350,1,167,157,12,342,14
250,0,75,75,12,231,13
25,1,11,10,5,13,5
150,1,75,71,5,135,7
300,0,97,97,12,293,15
150,0,61,61,8,133,9
150,0,57,50,10,142,11
25,0,11,11,5,20,6
200,0,68,65,8,184,11
150,0,51,51,8,130,10
500,0,168,168,11,486,13
150,0,43,39,10,143,12
200,1,83,83,11,198,13
400,1,190,190,10,389,13
50,1,24,21,7,50,8
25,0,12,9,6,24,6
200,1,90,88,11,191,12
25,0,8,8,7,25,8
50,1,30,20,4,47,5
50,1,22,21,6,47,7
300,0,115,110,11,290,12
500,1,219,214,12,480,15
50,1,23,22,7,46,7
25,0,14,9,5,18,6
150,0,49,48,8,143,9
250,1,113,98,10,250,12
25,0,9,9,5,20,6
100,1,45,45,7,96,8
150,1,70,65,9,144,11
50,0,22,21,6,49,7
400,1,189,179,14,398,16
300,0,103,103,9,266,11
500,1,216,211,13,490,16
350,0,106,106,10,340,15
400,1,193,183,18,393,20
300,1,138,108,12,291,14
400,1,183,144,12,392,14
300,0,90,90,12,298,14
200,1,95,64,9,186,11
500,0,158,156,11,482,12
150,1,73,73,8,148,10
25,0,12,12,5,21,5
50,1,23,22,8,50,9
50,1,19,17,5,47,6
400,0,125,122,12,400,15
450,0,142,141,10,430,12
450,0,134,128,14,442,15
250,0,82,82,10,231,13
200,0,60,60,9,177,11
50,0,13,12,7,45,8
150,1,74,74,9,144,9
450,0,150,149,14,442,17
25,1,13,10,7,22,7
350,0,121,120,12,331,13
200,0,64,64,9,192,11
100,1,44,39,8,93,8
50,0,17,17,8,44,10
350,0,99,96,11,340,12
250,1,115,111,11,248,11
450,1,207,203,10,443,12
500,0,160,158,13,498,15
150,0,59,55,9,143,10
450,0,145,142,10,440,14
400,0,123,123,13,390,16
500,0,154,154,12,472,14
200,0,64,64,9,193,12
250,0,90,89,11,249,13
200,0,64,64,10,194,13
25,1,13,13,4,19,5
400,1,175,172,12,396,15
100,0,35,35,9,95,12
50,1,26,26,5,47,6
300,0,120,110,11,292,13
100,1,50,49,7,93,9
25,1,12,11,5,23,6
400,0,126,126,11,381,13
150,1,83,82,7,139,8
100,0,33,33,7,87,8
25,1,14,12,4,23,5
300,1,138,132,11,292,13
500,0,147,147,14,477,16
25,0,9,7,7,21,7
450,1,216,205,13,441,14
250,0,77,77,9,243,11
300,1,129,116,11,290,13
450,1,222,213,11,447,12
450,1,200,195,12,447,13
250,0,83,83,9,242,11
25,1,11,11,5,22,6
25,1,13,13,5,22,5
25,0,7,7,7,25,8
350,1,173,170,9,342,11
300,0,103,103,13,296,15
250,1,116,101,10,249,12
100,0,34,34,7,96,9
25,0,8,8,6,20,7
100,0,35,28,10,100,12
500,0,168,161,10,471,13
250,0,77,77,10,246,13
100,1,45,37,7,96,9
200,0,62,60,9,184,11
450,1,197,184,13,448,16
350,1,158,143,10,344,12
500,1,228,219,9,481,12
300,1,135,122,12,293,13
200,1,80,70,9,194,10
200,0,62,62,10,193,12
350,0,126,126,12,341,13
200,1,96,90,11,194,13
450,0,146,146,9,423,13
50,0,18,15,6,47,7
25,1,14,11,6,22,7
450,0,145,143,11,438,15
25,1,11,11,5,24,5
500,0,156,156,15,495,16
200,1,84,77,10,197,12
450,0,134,134,15,440,18
200,1,91,85,11,192,12
450,1,205,191,12,441,13
400,0,125,125,13,390,16
100,0,39,37,8,93,9
450,1,208,203,13,444,15
200,0,66,66,9,193,11
150,1,65,57,9,136,11
500,0,160,159,13,490,14
50,0,15,15,7,50,9
400,0,114,114,13,377,15
200,0,74,72,10,191,12
200,1,86,84,10,192,12
25,0,7,6,4,21,6
50,1,26,22,4,48,5
200,0,56,53,11,197,12
100,1,55,51,8,99,8
250,1,117,111,9,234,10
250,1,124,116,10,241,11
100,1,44,44,8,95,9
150,1,69,67,7,148,8
100,1,54,43,5,87,6
500,1,232,230,12,495,13
500,0,168,166,11,480,13
250,0,68,68,12,242,13
25,1,13,11,3,22,4
300,0,89,89,12,292,13
150,1,64,61,9,148,12
500,0,157,157,14,490,16
350,1,183,166,9,348,11
300,1,137,128,11,295,12
25,0,13,8,5,22,6
50,1,23,21,8,44,9
100,1,48,47,8,95,9
200,0,69,69,7,171,9
25,0,7,7,5,22,6
500,0,149,147,10,490,13
450,1,202,194,11,443,12
400,1,180,172,12,400,14
500,1,229,214,14,497,15
350,1,165,162,14,342,16
25,0,9,9,6,25,6
100,0,34,31,9,85,10
350,1,171,165,14,344,16
300,1,151,128,11,297,13
200,1,91,91,11,191,12
100,0,30,29,8,92,11
200,1,98,88,7,188,9
500,0,126,123,11,493,16
450,1,196,183,11,443,13
50,1,25,25,6,45,7
25,0,8,8,5,21,6
500,1,229,222,12,495,14
25,0,11,11,6,20,6
500,1,237,217,10,491,12
150,1,69,61,6,149,8
25,1,15,11,6,25,6
50,1,25,25,6,37,7
350,0,104,96,12,346,14
200,0,69,68,12,197,15
25,0,10,9,4,22,5
300,0,100,100,12,292,14
100,1,50,43,7,95,8
25,1,15,10,3,18,4
100,1,46,39,9,91,9
150,0,50,45,11,142,14
100,0,35,35,9,100,11
150,0,40,33,10,142,12
350,1,168,147,11,344,12
200,1,96,94,12,193,13
25,0,9,9,6,20,7
300,0,99,93,10,282,13
350,1,160,143,11,340,13
200,0,62,61,10,192,11
400,1,192,185,11,399,13
350,1,169,164,12,344,13
250,0,81,81,10,244,12
400,1,183,178,10,383,12
300,1,135,127,12,296,14
350,1,155,143,11,344,13
300,0,93,90,13,293,14
350,0,104,104,10,343,14
25,1,12,12,6,21,6
150,0,44,44,9,141,12
25,0,9,6,5,14,6
400,0,130,130,9,391,11
200,0,52,52,12,190,13
250,1,111,97,13,244,13
50,1,29,23,5,46,6
200,0,62,62,8,191,12
450,1,227,160,11,440,13
100,1,42,41,9,95,10
50,1,24,21,7,49,8
25,1,13,11,4,20,6
300,0,102,102,11,295,14
200,1,84,84,9,196,10
200,0,76,71,11,193,12
300,0,101,101,11,292,15
450,1,207,189,12,446,15
150,0,57,51,10,143,13
25,0,9,8,7,22,8
200,1,81,76,10,193,11
200,1,96,89,7,189,9
500,1,231,210,14,498,15
400,1,180,162,11,392,14
25,1,13,9,4,19,5
100,1,50,44,7,96,8
50,0,19,13,6,45,6
25,0,11,9,4,25,6
500,1,233,221,10,480,13
250,0,81,79,10,223,13
50,1,23,22,8,47,9
25,1,13,10,6,21,6
300,1,126,121,12,292,14
500,1,249,222,11,494,13
200,0,63,63,9,192,11
450,0,154,154,12,439,14
150,0,45,45,10,150,12
150,1,71,67,6,145,9
150,1,73,66,9,144,11
450,0,139,139,11,442,14
400,0,123,117,11,392,12
300,0,83,83,10,299,12
250,0,90,77,11,244,12
500,0,155,152,11,495,13
100,1,44,44,8,97,9
300,1,146,131,12,295,14
25,1,13,8,5,24,7
25,0,9,9,6,20,6
300,1,144,135,12,300,14
350,1,165,150,9,345,14
400,1,187,172,12,398,14
25,0,9,7,5,17,8
400,0,142,142,9,368,12
150,1,65,63,12,142,12
25,0,9,9,7,24,7
250,0,76,71,10,247,13
200,0,72,72,12,194,15
200,1,100,98,10,196,11
300,0,98,95,12,296,15
150,1,64,62,9,146,11
450,0,140,138,10,442,12
25,0,9,9,6,20,6
500,1,237,218,12,492,15
500,0,158,156,13,489,16
450,0,142,140,10,431,13
25,1,15,12,4,23,4
25,1,14,12,5,24,5
100,0,28,25,7,87,9
250,0,68,68,11,241,13
350,0,105,103,10,345,11
100,1,45,39,8,94,9
50,0,18,18,8,44,8
25,1,14,13,3,17,3
150,0,43,43,9,146,11
400,0,132,126,11,393,15
250,1,109,106,9,247,11
200,0,59,58,10,193,12
500,1,226,218,12,492,15
50,1,20,19,8,46,8
250,0,98,67,10,246,12
350,0,111,111,11,341,13
300,0,101,101,8,292,12
250,0,74,74,11,246,13
50,0,14,14,8,38,8
100,0,33,32,7,93,9
25,0,10,9,4,16,5
25,0,7,7,7,20,8
450,0,127,125,10,442,13
450,0,145,134,11,443,16
500,0,163,160,14,490,16
150,0,50,49,10,142,11
50,0,19,18,7,48,8
150,0,49,49,7,108,9
200,0,68,67,10,197,11
400,0,120,118,11,392,13
350,0,125,125,11,343,14
50,1,28,25,5,41,6
500,0,154,154,10,491,13
450,0,144,143,10,439,14
200,1,93,83,8,198,9
450,1,209,197,15,439,16
100,1,51,45,9,95,10
200,1,91,90,10,194,11
300,1,142,106,8,284,10
350,1,155,147,10,344,12
250,1,132,127,9,243,12
350,0,121,120,12,339,15
350,1,149,141,13,344,15
200,0,71,64,10,192,12
300,1,132,118,12,293,13
250,0,76,76,12,242,13
25,0,8,5,9,19,9
25,1,15,13,5,22,5
200,1,91,87,10,198,11
300,1,134,132,13,295,16
25,1,13,10,6,22,6
400,0,140,140,12,390,14
500,1,222,202,10,489,13
200,0,78,75,8,177,10
150,0,57,56,9,144,10
200,1,76,76,9,198,10
400,0,119,118,14,391,16
100,1,34,34,9,96,10
25,0,11,11,5,22,6
400,0,119,116,12,392,16
250,0,83,83,10,242,12
500,0,141,139,12,488,15
450,0,148,148,11,443,15
25,0,13,10,5,24,6
500,0,157,152,12,477,16
150,0,46,46,9,143,11
450,0,143,139,13,441,15
150,0,43,40,10,144,12
500,1,225,222,14,495,15
350,0,113,110,13,345,14
300,0,101,101,10,295,13
300,1,132,120,11,297,13
450,1,200,195,10,447,13
350,1,162,150,11,341,12
450,0,151,150,10,443,13
350,1,167,136,11,344,12
50,0,20,18,8,46,9
25,1,13,13,4,17,5
400,1,173,162,11,396,13
450,1,206,202,11,434,14
100,1,44,42,8,99,9
100,1,49,49,8,96,9
300,1,148,124,9,293,11
450,0,119,119,11,440,14
200,1,100,100,8,181,8
200,1,100,93,7,193,9
400,1,191,180,12,393,14
500,0,159,157,9,490,13
300,1,135,133,11,295,13
250,0,86,86,11,248,14
500,1,242,241,9,491,13
300,1,135,105,10,293,12
50,1,23,20,7,49,8
200,0,68,68,9,192,10
200,0,62,62,9,186,11
400,0,124,124,12,390,14
350,0,111,111,9,341,12
50,1,24,23,5,42,6
450,0,148,148,12,437,15
500,0,165,165,13,489,16
50,0,14,11,9,47,10
150,0,54,52,12,144,13
350,0,126,126,12,348,13
450,0,141,140,12,444,16
300,1,137,109,9,278,11
500,0,175,169,10,471,12
450,0,137,137,13,440,15
250,0,75,75,12,239,13
400,1,202,140,11,391,13
25,0,8,8,6,20,8
400,1,164,163,12,396,14
150,1,73,66,10,147,12
450,1,208,200,13,439,16
150,1,72,66,9,148,10
400,0,134,133,12,391,16
25,1,12,12,5,21,5
300,0,85,82,10,297,11
450,1,201,184,11,442,14
400,1,169,161,10,391,12
150,0,46,42,10,144,12
100,0,48,37,6,94,8
50,0,17,16,9,47,10
200,1,102,90,7,186,9
200,0,58,58,10,190,12
400,0,123,121,14,388,17
500,0,148,139,13,488,15
500,0,137,133,12,491,14
200,1,88,80,10,191,12
25,1,16,16,3,13,3
100,1,46,44,9,100,10
450,0,139,139,10,429,14
50,1,23,22,5,47,6
200,0,56,49,10,194,12
300,1,152,103,10,291,13
200,0,69,69,11,192,13
300,1,151,150,10,292,14
400,0,124,121,11,383,11
150,0,54,54,10,146,12
100,0,28,26,11,95,13
500,1,237,216,12,490,14
500,0,150,150,10,482,14
350,1,161,156,11,346,13
350,1,164,132,11,341,13
200,1,95,95,6,182,9
400,0,119,119,10,392,12
100,0,35,35,9,99,10
500,0,154,149,12,489,14
50,0,18,17,9,50,10
200,0,67,67,8,178,11
25,0,12,10,4,19,4
350,1,153,147,12,341,15
250,1,124,124,7,243,9
500,0,146,143,12,472,14
200,1,90,85,11,194,12
150,1,56,53,11,149,11
25,1,10,10,5,25,6
150,0,46,45,8,135,10
300,1,144,134,12,297,14
250,1,102,95,12,243,14
450,0,134,133,11,441,12
100,1,49,47,6,96,7
450,0,144,144,13,447,14
100,1,49,34,7,95,8
150,0,49,48,9,142,12
100,0,33,33,6,87,9
500,1,235,221,11,495,13
100,1,56,37,6,90,7
25,1,11,8,6,20,6
250,1,119,90,8,243,10
300,1,140,132,12,290,13
150,0,52,52,10,143,11
100,1,49,42,7,95,8
250,1,114,108,11,241,13
400,1,177,172,12,389,14
150,0,49,49,10,140,12
100,0,40,40,9,94,9
450,1,217,168,14,445,15
25,1,15,10,5,21,6
500,0,149,148,12,492,15
250,1,108,105,12,238,15
450,0,146,146,14,445,17
450,0,128,124,12,439,14
250,0,81,75,11,240,13
100,1,50,49,6,95,7
350,1,151,140,11,341,12
300,1,132,125,11,290,13
300,1,154,101,13,293,14
50,1,24,16,5,45,7
50,0,17,17,8,48,9
50,0,19,16,5,32,7
50,1,22,21,10,49,10
25,1,14,11,5,19,5
350,0,111,111,10,313,13
400,0,124,124,10,365,12
450,0,139,139,11,439,14
200,1,94,86,7,187,10
100,1,49,45,5,97,7
25,0,9,8,3,10,4
300,1,142,117,11,293,12
100,1,54,32,8,96,9
450,1,207,190,10,444,11
450,1,200,183,14,441,15
350,1,176,167,9,342,11
400,1,195,191,11,394,13
25,0,12,12,4,21,5
100,0,35,25,9,96,11
500,1,240,228,14,493,16
200,1,97,95,11,198,12
400,1,181,175,10,394,12
500,0,172,168,12,490,14
100,1,51,35,6,95,7
25,1,14,10,5,21,5
100,1,48,46,7,94,8
25,0,10,10,4,23,6
200,0,63,61,10,192,12
200,0,64,64,8,192,10
500,1,228,208,12,491,14
500,1,248,179,12,462,13
350,1,153,116,11,341,13
200,1,93,86,10,195,12
400,0,132,132,10,393,12
200,0,67,67,10,190,12
300,1,137,127,10,295,13
50,0,18,18,8,49,10
250,0,79,79,10,220,12
100,0,34,34,11,98,11
500,0,164,157,10,481,14
350,0,110,109,11,344,14
400,1,181,162,12,393,15
100,1,56,42,8,96,9
300,0,93,91,9,276,13
300,0,104,104,11,290,14
400,0,135,128,11,374,14
150,1,68,60,8,148,9
400,0,120,120,10,394,13
100,1,47,44,9,98,10
200,1,93,90,9,193,11
200,0,78,52,7,174,10
25,1,15,10,4,25,4
150,1,71,71,8,145,8
25,1,12,8,5,20,6
250,1,114,106,8,243,10
250,1,110,110,9,241,11
50,1,18,17,5,41,6
25,1,12,10,3,12,4
25,0,8,7,5,11,6
250,0,81,81,10,241,13
250,0,87,87,11,248,13
200,1,85,77,9,184,12
25,1,10,7,6,20,6
200,1,101,100,8,194,11
400,1,180,168,13,389,17
200,1,95,95,8,192,10
250,1,119,112,10,243,11
400,1,200,187,11,382,12
300,1,144,136,12,297,12
100,1,56,52,6,98,7
100,0,30,29,10,93,11
200,0,55,54,9,193,12
150,1,75,74,7,149,10
250,1,101,96,12,243,14
450,0,141,141,12,429,15
350,1,169,164,11,340,13
150,1,71,69,11,142,12
500,1,239,221,11,491,13
250,0,76,76,12,245,13
100,1,51,40,6,89,7
350,0,118,118,13,344,15
450,0,149,149,12,430,13
350,1,151,147,13,344,16
350,1,158,143,13,342,14
500,0,155,153,12,490,14
200,0,63,59,9,193,11
200,0,65,65,11,197,12
200,0,70,70,9,186,11
25,0,10,9,6,22,6
50,1,21,18,6,45,6
350,1,159,133,10,344,12
500,1,233,215,13,492,15
50,1,26,22,7,45,7
200,0,59,59,10,183,12
200,1,95,84,9,196,10
300,0,94,94,10,293,12
350,0,133,131,10,320,13
25,0,13,9,5,22,5
350,0,119,119,12,340,14
400,0,120,120,11,364,13
25,1,13,13,3,20,4
500,1,240,211,12,497,14
25,0,6,6,9,25,9
50,1,22,22,6,46,6
25,0,9,9,5,21,6
400,1,175,168,9,392,11
100,0,28,27,9,96,12
450,1,199,198,10,442,12
200,0,64,60,9,192,12
500,1,224,208,13,492,15
300,0,81,78,14,291,15
300,0,95,95,10,266,12
400,0,115,114,13,391,15
100,1,51,51,10,95,10
250,0,86,83,10,245,13
250,1,118,98,11,244,13
150,1,69,69,10,150,12
500,0,143,140,13,489,15
150,1,69,67,9,143,11
25,1,13,11,6,24,6
400,0,135,135,14,387,17
25,0,9,8,5,21,5
500,0,147,147,12,480,14
100,0,37,34,9,96,11
100,0,39,37,6,85,9
500,0,158,157,13,494,17
300,0,91,91,12,294,15
25,0,12,7,7,23,7
25,1,13,9,6,23,7
100,0,41,41,10,93,12
450,1,215,203,12,443,15
500,0,164,164,12,491,14
50,0,17,17,7,44,8
450,0,138,137,12,439,15
150,0,47,47,8,114,10
200,0,57,57,13,194,15
100,1,42,38,10,96,10
500,1,227,195,11,494,14
25,0,7,6,6,23,7
300,0,97,96,13,289,14
300,0,107,106,9,255,13
350,0,105,105,11,340,14
450,0,132,131,12,442,13
200,1,91,83,10,193,12
350,1,164,160,10,349,12
100,1,53,52,6,82,7
250,0,86,86,10,242,12
450,1,211,197,8,411,12
400,0,105,105,14,388,15
50,0,14,13,8,45,8
50,1,24,19,7,43,8
50,1,27,23,8,50,8
450,1,198,195,13,440,16
350,1,168,158,11,342,13
200,0,65,65,9,192,13
450,0,160,160,10,440,14
250,1,116,95,10,241,12
250,1,122,111,9,240,12
400,1,201,185,11,396,12
450,1,202,192,13,442,16
100,1,44,40,9,99,11
450,1,218,216,12,443,14
450,1,206,195,12,440,15
350,0,94,94,13,349,15
200,1,98,79,10,193,11
25,0,11,10,6,21,7
350,1,165,152,14,344,16
200,0,59,58,11,196,13
500,1,238,228,13,495,16
50,0,17,11,7,32,8
500,1,240,228,10,492,13
300,0,98,98,9,292,13
200,0,68,67,8,195,11
100,0,35,32,10,95,11
400,1,187,168,12,394,17
500,0,169,166,12,489,15
350,1,141,134,13,341,15
200,0,68,68,9,180,12
400,0,143,141,10,395,12
350,0,130,123,9,302,10
150,1,72,70,6,147,6
150,1,77,54,7,145,8
450,0,150,150,12,440,15
25,1,13,9,7,25,7
150,0,42,42,8,143,11
500,0,150,150,14,498,18
25,1,14,8,5,24,6
350,0,120,120,11,344,13
200,1,94,93,9,195,11
50,0,18,18,7,45,8
350,0,110,103,9,342,11
50,1,25,22,6,47,7
200,0,64,63,11,191,12
300,1,125,124,11,293,12
500,1,247,229,12,490,13
200,1,96,94,11,194,13
450,1,204,199,11,443,13
400,0,118,118,13,397,15
500,0,143,143,13,497,14
400,0,109,109,12,369,15
350,1,163,149,12,343,15
250,1,119,119,9,250,12
25,0,12,12,3,14,5
400,1,189,185,11,391,15
50,1,28,26,6,46,7
400,1,187,174,11,392,13
400,0,127,127,14,392,17
400,0,113,113,11,392,14
300,1,127,108,15,297,15
250,1,114,111,13,244,14
25,0,13,13,5,21,6
350,1,152,141,13,346,16
450,1,198,187,13,439,14
350,0,123,123,10,341,12
450,1,212,181,11,442,12
450,1,196,186,15,446,17
100,1,47,47,9,96,10
200,0,65,65,9,184,11
400,1,195,182,11,399,15
100,0,37,28,10,95,11
450,0,144,144,12,439,14
100,0,28,27,10,95,12
100,1,51,40,7,95,8
400,1,174,164,15,397,16
200,1,99,94,9,194,10
500,1,215,207,15,492,17
100,1,47,45,9,100,10
350,1,165,165,10,340,13
150,1,68,67,7,145,9
200,1,94,93,10,199,11
150,1,67,63,11,145,11
400,1,182,177,11,390,14
400,1,175,165,11,400,13
25,1,11,11,5,21,5
300,1,137,137,8,288,10
400,0,135,130,11,379,13
450,1,211,206,12,439,15
450,0,139,136,9,440,13
100,0,41,35,9,94,11
500,0,158,158,10,481,15
200,0,67,65,10,179,11
300,1,138,132,11,291,12
250,1,111,110,10,233,11
350,1,165,160,7,342,10
250,0,79,72,11,242,13
350,0,104,104,13,342,15
50,1,26,20,5,45,6
50,0,17,16,8,49,9
500,1,225,223,12,491,14
500,1,225,213,12,498,15
500,0,160,158,12,491,15
350,1,153,144,12,342,15
150,1,71,66,10,144,10
150,1,69,68,12,143,13
400,0,124,124,12,392,16
150,0,48,46,10,148,12
400,1,167,160,10,382,12
450,1,198,185,14,442,15
150,1,75,66,7,138,8
500,1,217,211,11,491,13
50,0,18,18,7,48,8
150,0,40,38,12,143,14
500,1,227,220,11,492,15
100,0,34,33,9,95,11
450,1,201,192,11,442,14
100,0,39,38,9,78,11
150,0,49,47,9,142,11
100,1,53,52,7,95,9
450,0,134,132,15,438,16
25,0,8,8,5,16,7
100,0,35,35,9,93,11
250,1,100,96,11,246,12
200,1,91,80,7,195,9
400,0,144,132,13,391,14
150,0,44,42,10,143,12
450,1,213,209,10,438,12
450,1,214,202,13,441,14
400,1,200,162,11,390,13
300,0,93,93,11,275,12
400,0,135,135,11,390,13
500,0,173,170,12,490,15
200,1,101,64,6,195,9
300,1,133,125,9,292,11
500,0,157,145,13,490,14
250,0,69,69,11,239,15
150,0,54,54,10,145,11
50,0,20,20,6,35,7
150,0,48,48,10,149,11
250,0,78,73,12,240,13
25,1,11,10,4,12,4
450,0,159,159,13,443,16
250,0,67,62,10,240,13
50,0,18,18,7,35,8
400,1,169,162,12,393,14
250,0,80,80,10,241,12
200,1,96,92,8,188,10
150,1,71,61,7,146,9
350,1,168,166,11,346,13
100,0,40,34,9,95,10
350,0,117,115,10,347,14
250,1,126,112,12,243,13
450,1,205,203,12,441,13
300,1,132,129,12,291,13
500,1,242,158,16,494,18
25,0,10,6,6,24,8
350,1,154,143,11,345,11
50,0,16,16,7,44,7
150,0,52,52,8,124,10
200,0,67,63,10,192,11
350,0,110,110,12,328,15
50,1,23,22,6,45,7
100,0,39,35,9,91,10
100,1,45,44,9,97,10
300,1,134,128,10,286,11
50,1,26,26,8,50,9
150,1,73,67,9,148,10
250,0,77,77,9,217,12
25,1,10,10,4,15,4
50,0,24,22,8,47,8
250,0,78,78,8,235,10
50,1,19,19,8,46,9
100,0,41,41,8,98,10
350,0,116,116,10,332,13
300,1,136,122,11,293,12
400,0,144,144,13,391,14
150,0,43,41,8,132,11
350,1,170,164,11,343,13
350,0,112,109,13,340,15
150,1,72,71,6,127,8
100,0,40,40,10,96,12
400,0,111,107,12,390,13
100,0,31,30,9,91,10
500,1,257,240,13,479,15
350,0,107,103,12,339,15
200,0,69,69,10,173,14
500,0,163,163,11,479,13
300,1,124,111,11,293,13
200,1,98,98,8,194,11
25,0,8,7,7,23,8
500,1,224,222,11,490,12
150,0,55,55,9,146,10
350,1,146,140,9,345,11
450,1,207,198,10,443,12
500,1,234,195,11,492,13
150,1,71,70,10,148,12
400,0,115,115,11,390,14
150,0,54,38,8,115,10
150,0,59,54,10,144,12
200,1,94,86,11,197,12
450,0,151,151,13,440,15
25,0,8,8,7,23,7
50,1,21,19,6,47,7
100,0,34,31,8,87,9
500,1,233,185,12,491,16
450,0,153,146,12,445,13
25,0,10,9,7,19,8
400,1,189,172,10,392,11
150,1,78,72,8,146,9
25,1,14,8,6,23,7
500,1,221,211,12,494,14
500,0,135,135,11,491,15
25,1,11,11,5,16,5
250,1,113,107,9,246,11
150,0,54,54,10,142,12
250,0,85,83,11,241,14
500,0,158,150,13,488,15
150,0,52,51,11,149,13
100,0,28,25,7,77,9
150,1,78,69,9,144,11
350,0,126,123,10,341,12
500,0,174,174,12,489,15
350,0,108,106,12,339,14
350,1,166,155,13,339,14
500,1,212,196,13,494,16
200,0,67,54,7,181,10
50,1,31,31,6,48,7
250,1,129,121,10,244,10
150,0,48,45,8,136,9
500,1,240,222,12,493,14
25,1,12,12,6,21,6
500,1,222,214,11,490,14
350,1,163,158,9,333,12
100,1,43,42,9,94,10
50,1,26,26,4,50,6
250,1,123,123,9,236,11
250,1,106,105,11,243,12
150,1,66,66,11,148,12
350,1,168,159,12,341,13
200,0,65,63,10,193,13
200,1,94,92,10,195,11
25,0,10,10,5,19,5
25,0,9,9,6,25,6
250,0,80,79,10,243,12
350,0,115,112,11,350,14
350,1,164,159,12,346,15
300,1,138,138,11,294,13
500,0,157,157,11,485,15
500,1,222,209,12,500,14
350,0,119,117,13,350,15
500,1,221,206,12,498,14
300,1,133,119,12,294,15
450,1,194,186,10,442,13
100,0,41,39,7,94,9
300,0,110,104,12,299,13
500,0,160,160,10,491,12
400,1,188,184,12,395,14
300,0,92,92,9,294,11
25,1,12,12,5,22,5
450,1,218,181,10,443,13
500,0,168,168,14,492,16
50,1,25,16,5,42,6
25,0,11,11,6,22,6
450,0,146,146,12,441,14
150,0,51,51,7,130,8
400,0,123,122,10,393,13
500,1,243,210,12,491,14
300,0,97,97,9,284,12
450,0,140,139,10,417,13
400,1,186,178,10,395,12
150,0,53,47,9,134,12
450,1,202,190,16,444,17
250,0,84,82,11,229,14
400,0,126,123,9,374,12
100,0,38,36,9,91,11
150,0,56,55,10,142,12
200,0,50,43,9,191,13
400,0,130,130,11,391,15
150,1,65,62,9,144,10
250,0,84,82,10,240,13
300,0,91,80,10,290,12
300,1,139,132,11,293,14
300,0,90,90,10,292,13
500,0,159,159,12,489,16
350,0,115,113,13,349,15
150,1,72,70,8,143,10
50,1,26,19,8,50,9
250,1,117,95,9,242,12
200,1,100,89,8,194,9
100,0,39,31,7,77,8
300,1,153,113,10,293,12
200,0,58,58,9,184,11
300,0,99,99,8,269,12
400,0,119,118,10,393,13
50,0,19,16,8,48,8
25,1,12,9,4,21,5
350,0,115,106,11,345,14
25,0,9,8,6,21,6
450,0,128,128,10,441,14
400,0,128,128,12,392,14
200,0,65,62,9,194,12
300,1,135,133,13,298,14
250,0,80,80,10,242,13
400,0,121,121,10,393,13
400,0,136,136,12,393,13
500,1,235,227,14,491,16
450,0,143,139,11,442,14
50,1,29,28,4,39,5
200,1,94,80,8,192,10
350,0,111,109,10,341,12
300,1,131,125,11,292,13
50,0,16,15,8,48,9
150,0,45,45,10,148,12
500,0,167,166,9,476,12
100,0,41,41,9,91,10
100,0,37,35,8,96,10
150,0,47,43,9,150,11
150,0,68,65,9,143,12
25,0,10,9,8,18,9
25,0,8,8,6,21,7
300,1,132,129,8,294,10
50,0,15,13,7,50,8
450,0,128,127,11,440,14
350,0,115,115,11,341,12
300,1,141,139,11,293,12
250,0,73,73,12,244,14
400,1,175,163,12,391,15
25,1,18,18,3,24,3
150,0,45,45,7,140,9
500,0,163,160,11,490,13
300,1,148,134,9,293,11
25,0,10,8,6,24,7
350,1,163,122,10,344,12
350,0,112,112,11,340,14
450,1,211,206,15,439,17
25,0,9,9,5,18,5
300,1,133,124,11,294,13
400,0,134,132,11,390,14
200,0,62,58,10,194,12
400,1,202,199,12,396,15
150,0,51,46,9,125,11
250,0,69,69,11,241,13
450,0,154,154,14,444,15
25,0,10,10,4,24,5
150,1,64,64,10,143,12
500,1,227,211,13,499,16
25,0,10,10,7,25,8
400,1,184,181,14,393,16
