n,distribution,chromatic_number,clique_number,max_independent_set_size,domination_number,min_clique_cover_size
450,0,170,131,6,347,7
450,1,210,190,6,380,7
500,0,161,148,5,453,7
25,0,15,10,3,8,3
450,1,192,165,4,374,6
100,1,43,42,5,98,7
500,0,179,171,6,387,7
100,0,35,32,4,66,5
350,0,125,97,6,266,6
100,0,42,34,4,70,5
250,0,97,76,5,200,7
25,1,10,9,3,14,4
50,0,21,19,4,31,5
250,1,108,101,3,197,5
200,0,78,52,5,135,6
450,0,182,140,5,330,6
350,1,142,124,5,291,6
450,0,171,147,6,357,7
50,0,21,17,5,43,6
250,0,90,81,4,170,6
350,1,155,134,4,311,6
100,1,44,43,4,44,4
200,0,77,66,5,134,6
300,0,109,105,6,284,7
50,1,23,20,5,49,6
500,0,180,164,6,407,6
300,1,134,128,5,244,6
500,1,210,208,5,365,6
25,1,11,10,3,14,4
200,1,90,67,4,105,5
300,0,116,109,5,286,7
25,0,12,8,3,13,4
500,0,189,154,5,380,6
50,1,32,21,3,26,3
250,0,92,84,5,176,6
150,0,55,52,5,86,6
100,1,46,40,3,67,5
500,1,222,203,5,426,6
450,1,187,167,4,323,6
25,1,11,10,3,16,5
250,1,106,81,5,208,6
350,0,144,110,5,298,6
50,1,25,21,4,19,5
300,0,117,103,6,284,7
200,0,80,71,5,185,6
25,0,10,8,5,21,5
400,0,133,121,6,395,8
400,1,161,141,5,318,6
450,1,192,154,6,445,7
350,0,118,109,6,321,7
350,0,119,115,6,267,7
150,0,51,48,5,146,7
50,1,21,18,4,30,5
100,0,40,33,4,52,5
200,0,70,70,5,150,6
25,1,12,10,2,9,3
400,0,136,116,6,369,7
450,0,156,135,5,337,6
350,1,131,114,5,254,6
450,0,161,160,6,343,7
150,1,71,60,4,123,5
200,0,79,71,5,168,7
450,0,155,133,5,427,7
25,0,12,10,4,10,4
200,1,93,75,4,170,5
400,0,142,125,5,395,7
150,1,66,59,4,123,6
100,0,35,34,6,90,7
300,0,92,80,5,295,7
150,0,52,43,4,109,6
